slope,elev_5x5_rel,elev_5x5_std_dev,slope_5x5_std_dev,twi_10m,twi_100m,dd_s,dd_h,dd_v,label
89.99609,-0.15204833,1.728868,0.003673832,8.669274,0.6495994,14.18041,13.992662,2.296313,1
89.99688,2.8625488,3.1052291,0.0014929614,21.373741,1.2187703,0.0,0.0,0.0,1
89.992836,-0.070146486,0.9986855,0.0037402194,10.214917,-1.88076,218.77094,218.13309,14.889528,1
89.995155,0.30773926,1.2821633,0.0021465416,11.711359,-1.0730284,12.496369,12.424747,1.3359985,1
0.0,-1.1368684e-12,0.0,0.0,10.777345,11.488351,43.92591,43.92591,0.0,1
89.99064,0.85924315,0.9795207,0.0034832375,21.00891,2.636745,0.0,0.0,0.0,1
89.997856,0.64394045,3.0213127,0.0005202541,12.884088,-2.3149047,31.038982,30.400692,6.2126393,1
89.99588,1.8665576,2.4163384,0.0007373134,17.10486,-1.9772804,0.0,0.0,0.0,1
89.984245,-0.029984131,0.48044196,0.0016219344,11.266428,-1.3216166,61.769886,61.694233,3.012622,1
89.99797,2.2765918,3.4529586,0.0009266834,13.883071,-0.8382989,7.804166,7.4204555,2.4169922,1
89.99781,0.4575,3.185198,0.000801596,14.513103,-2.6390526,0.0,0.0,0.0,1
89.97847,-0.03861084,0.31710956,0.0051880367,10.244061,3.1365883,33.06162,33.040146,1.1311256,1
0.0,-7.9580786e-13,0.0,0.0,12.170901,9.61992,64.60641,64.60641,0.0,1
0.0,-1.1368684e-12,0.0,0.0,0.0,2.3048933,0.0,0.0,0.0,1
89.99814,4.1983767,4.376824,0.00094413734,16.594835,-1.7663554,0.0,0.0,0.0,1
0.0,4.5474735e-12,0.0,0.0,16.761026,5.4220753,13.193164,13.193164,0.0,1
89.998375,-0.76782227,3.9932961,0.00028198902,8.299121,-1.723238,40.92629,39.20858,11.483188,1
89.99903,0.22598633,7.4234085,0.00011763567,9.301335,-5.850398,193.14523,187.04637,40.092777,1
89.99368,0.3282495,1.1776844,0.0015619377,11.55407,-1.0022113,12.598369,12.542892,1.1781048,1
89.99858,0.08871582,5.379286,7.1797425e-05,9.144271,-3.009174,91.09118,82.751656,37.559147,1
89.998215,1.3800391,3.069771,0.0010246319,13.092538,-3.1808796,7.9859304,7.5524964,2.5881863,1
89.997826,1.1744629,3.2193682,0.0001940582,14.734712,-2.9516506,38.42927,37.287453,9.252075,1
89.99429,1.3651416,2.1039765,0.0017892495,15.741499,-2.619688,30.269466,30.104967,3.0971556,1
0.0,-2.728484e-12,0.0,0.0,12.368307,13.681773,203.63321,203.63321,0.0,1
89.99831,3.0184765,4.519439,0.0002582256,13.568567,-3.8577194,7.9937544,7.422818,2.9667969,1
89.95944,-0.004073486,0.19431207,0.0058720587,13.23314,-0.42678785,31.524946,31.519308,0.58494914,1
0.0,-2.16005e-12,0.0,0.0,12.259345,11.302557,163.04996,163.04996,0.0,1
89.99871,-0.35553223,5.721448,0.00011130092,8.820575,-5.144677,218.8456,197.07881,94.139626,1
89.98691,0.33140746,0.55016327,0.007811972,15.184912,-0.45806476,0.0,0.0,0.0,1
89.99722,-0.14725342,3.094656,0.00034514477,9.813496,-3.7520237,111.34135,107.97086,24.877075,1
89.993286,0.3485913,1.0188494,0.0014978056,10.551498,1.4876621,9.766859,9.73841,0.74480486,1
89.993675,0.022094727,1.1523896,0.0005661538,10.300692,-4.3075204,205.88957,205.17496,16.961046,1
89.99875,1.964231,5.534572,0.0013084392,8.841669,-1.1729288,10.546412,9.978234,3.414917,1
89.98592,0.29963866,0.95323205,0.002529476,17.123686,-1.604205,0.0,0.0,0.0,1
89.99881,-0.13584961,6.2290664,0.0001886559,7.8401685,-3.984618,164.31831,146.25606,74.44106,1
89.99667,0.97111815,2.4140182,0.0002879142,16.118832,-1.639308,12.58582,12.43011,1.9736328,1
89.99857,-1.155957,5.098869,0.0004363764,9.326989,-3.206378,54.06192,50.45463,17.262724,1
89.986374,0.20021485,0.5366024,0.0062380466,14.618627,-0.6565821,117.59474,117.351036,7.0356283,1
89.993095,-0.01663086,0.9843216,0.00039205575,10.385781,-2.063059,239.37573,238.91306,14.3567505,1
0.0,1.2505552e-12,0.0,0.0,12.985111,4.231745,117.90413,117.90413,0.0,1
89.997375,1.0247314,2.3713436,0.0012255154,10.445157,1.5335139,9.84222,9.673471,1.814271,1
89.996376,3.4945948,3.866142,0.00068598695,16.28776,-3.474817,0.0,0.0,0.0,1
89.997635,1.8775611,3.8362412,0.00079157116,16.01124,0.07441026,10.097501,9.978321,1.546814,1
89.99838,2.749131,3.5967846,17.6355,13.538619,-4.2914376,7.5697713,7.430512,1.4453125,1
89.99116,-0.032470703,1.0261858,0.0016850595,8.874852,-3.815573,155.49492,154.9112,12.252686,1
89.99623,-0.09873291,1.6649069,0.0014795278,8.075151,-3.0350068,16.810877,16.606766,2.6025527,1
89.99776,0.9165845,2.6392343,0.0010105512,12.277082,-2.0382226,0.0,0.0,0.0,1
